Hugo_Symbol	SCBO-7_Xenograft	SMBO-1_Xenograft_1	SMBO-1_Xenograft_2	SCBO-9_Parental	SCBO-9_Xenograft	SCBO-10_Parental	SCBO-10_Xenograft	SCBO-11_Parental	SCBO-12_Parental	SCBO-1_Organoid_P7	SCBO-3_2_Organoid_P14	SCBO-4_Organoid_P13	SCBO-8_Organoid_P7	SCBO-9_Organoid_P5	SCBO-10_Organoid_P5	SCBO-11_Organoid_P5	SCBO-14_Organoid_P2	SCBO-15_Organoid_P0	SMBO-1_Organoid_P0	SCBO-6_Parental	SCBO-5_Parental	SCBO-2_Parental_2	SCBO-2_Parental_3	SCBO-2_Parental_4	SCBO-5_Organoid_P10	SCBO-5_Organoid_P1	SCBO-5_Organoid_P6	SCBO-6_Organoid_P1	SCBO-16_Organoid_P4	SCBO-16_Organoid_P7	SCBO-7_2_Parental	SCBO-11_3_Parental	SCBO-14_Xenograft	SCBO-7_2_Organoid_P1	SCBO-9_Organoid_P17	SCBO-10_Organoid_P17	SCBO-11_2_Organoid_P8	SCBO-11_3_Organoid_P2	SCBO-11_Organoid_P16	SCBO-11_Organoid_P20	SCBO-12_Organoid_P15	SCBO-14_Organoid_P15	SCBO-14_Organoid_P19	SCBO-15_Organoid_P12	SCBO-6_Xenograft	SCBO-5_Xenograft	SCBO-2_Xenograft	SCBO-3_2_Parental	SCBO-3_Xenograft	SCBO-3_2_Xenograft	SCBO-7_Parental	SCBO-5_XenoOrganoid_P2	SCBO-2_XenoOrganoid_P1	SCBO-3_XenoOrganoid_P0	SCBO-3_XenoOrganoid_P2	SCBO-2_Organoid_P11	SCBO-3_2_Organoid_P1	SCBO-3_2_Organoid_P8	SCBO-7_Organoid_P0	SCBO-6_Organoid_P9	SCBO-5_Organoid_P15	SCBO-1_XenoOrganoid_P3	SCBO-3_2_Organoid_P4	SCBO-3_Organoid_P14	SCBO-7_Organoid_P11	SCBO-7_Organoid_P7	SCBO-7_XenoOrganoid_P3	SCBO-8_Organoid_P11	SCBO-8_Organoid_P15	SCBO-8_Organoid_P19	SCBO-9_Organoid_P13	SCBO-9_Organoid_P9	SCBO-10_Organoid_P13	SCBO-10_Organoid_P9	SCBO-10_XenoOrganoid_P4	SCBO-11_2_Organoid_P3	SCBO-11_Organoid_P12	SCBO-11_Organoid_P8	SCBO-12_Organoid_P11	SCBO-12_Organoid_P7	SCBO-13_Organoid_P7	SCBO-14_Organoid_P10	SCBO-14_Organoid_P6	SCBO-15_Organoid_P4	SCBO-15_Organoid_P8	SCBO-15_XenoOrganoid_P2	SMBO-1_Organoid_P8	SMBO-1_XenoOrganoid_P0	SMBO-2_Organoid_P10	SMBO-2_Organoid_P2	SMBO-2_Organoid_P6	SMBO-1_Organoid_P4	SMBO-3_Organoid_P6	SMBO-3_Organoid_P4	SMBO-3_Parental	SMBO-3_Xenograft	SCBO-2_Parental_1	SCBO-3_Parental	SCBO-4_Parental	SCBO-1_Parental	SCBO-1_Organoid_P1	SCBO-2_Organoid_P1	SCBO-3_Organoid_P1	SCBO-4_Organoid_P1	SCBO-16_Organoid_P12	SCBO-7_2_Xenograft	SCBO-15_Parental	SCBO-16_Parental	SCBO-7_2_Organoid_P9	SCBO-7_2_XenoOrganoid_P1	SCBO-7_Organoid_P20	SCBO-11_2_Organoid_P16	SCBO-11_3_Organoid_P8	SCBO-6_Organoid_P15	SCBO-3_Organoid_P4	SCBO-8_Organoid_P3	SCBO-9_Organoid_P0	SCBO-10_Organoid_P0	SCBO-11_Organoid_P1	SCBO-12_Organoid_P0	SCBO-1_Xenograft	SCBO-8_Parental	SCBO-8_Xenograft	SCBO-11_2_Parental	SCBO-15_Xenograft	SMBO-2_Xenograft	SCBO-13_Parental	SCBO-1_Organoid_P11	SCBO-3_Organoid_P8	SCBO-4_Organoid_P10
ABL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	-2	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AKT1	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALOX12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	-2	0	0	-2	0	-2	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	0	0	0	0	0	0	0	0	0
AMER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
