SAMPLE_ID	mutations	cna
SCBO-1_Organoid_P1	IMPACT410	IMPACT410
SCBO-1_Organoid_P11	IMPACT410	IMPACT410
SCBO-1_Organoid_P7	IMPACT410	IMPACT410
SCBO-1_Parental	IMPACT410	IMPACT410
SCBO-1_Xenograft	IMPACT410	IMPACT410
SCBO-1_XenoOrganoid_P3	IMPACT410	IMPACT410
SCBO-10_Organoid_P0	IMPACT410	IMPACT410
SCBO-10_Organoid_P13	IMPACT410	IMPACT410
SCBO-10_Organoid_P17	IMPACT410	IMPACT410
SCBO-10_Organoid_P5	IMPACT410	IMPACT410
SCBO-10_Organoid_P9	IMPACT410	IMPACT410
SCBO-10_Parental	IMPACT410	IMPACT410
SCBO-10_Xenograft	IMPACT410	IMPACT410
SCBO-10_XenoOrganoid_P4	IMPACT410	IMPACT410
SCBO-11_2_Organoid_P16	IMPACT410	IMPACT410
SCBO-11_2_Organoid_P3	IMPACT410	IMPACT410
SCBO-11_2_Organoid_P8	IMPACT410	IMPACT410
SCBO-11_2_Parental	IMPACT410	IMPACT410
SCBO-11_3_Organoid_P2	IMPACT410	IMPACT410
SCBO-11_3_Organoid_P8	IMPACT410	IMPACT410
SCBO-11_3_Parental	IMPACT410	IMPACT410
SCBO-11_Organoid_P1	IMPACT410	IMPACT410
SCBO-11_Organoid_P12	IMPACT410	IMPACT410
SCBO-11_Organoid_P16	IMPACT410	IMPACT410
SCBO-11_Organoid_P20	IMPACT410	IMPACT410
SCBO-11_Organoid_P5	IMPACT410	IMPACT410
SCBO-11_Organoid_P8	IMPACT410	IMPACT410
SCBO-11_Parental	IMPACT410	IMPACT410
SCBO-12_Organoid_P0	IMPACT410	IMPACT410
SCBO-12_Organoid_P11	IMPACT410	IMPACT410
SCBO-12_Organoid_P15	IMPACT410	IMPACT410
SCBO-12_Organoid_P7	IMPACT410	IMPACT410
SCBO-12_Parental	IMPACT410	IMPACT410
SCBO-13_Organoid_P7	IMPACT410	IMPACT410
SCBO-13_Parental	IMPACT410	IMPACT410
SCBO-14_Organoid_P10	IMPACT410	IMPACT410
SCBO-14_Organoid_P15	IMPACT410	IMPACT410
SCBO-14_Organoid_P19	IMPACT410	IMPACT410
SCBO-14_Organoid_P2	IMPACT410	IMPACT410
SCBO-14_Organoid_P6	IMPACT410	IMPACT410
SCBO-14_Xenograft	IMPACT410	IMPACT410
SCBO-15_Organoid_P0	IMPACT410	IMPACT410
SCBO-15_Organoid_P12	IMPACT410	IMPACT410
SCBO-15_Organoid_P4	IMPACT468	IMPACT468
SCBO-15_Organoid_P8	IMPACT468	IMPACT468
SCBO-15_Parental	IMPACT468	IMPACT468
SCBO-15_Xenograft	IMPACT468	IMPACT468
SCBO-15_XenoOrganoid_P2	IMPACT468	IMPACT468
SCBO-16_Organoid_P12	IMPACT410	IMPACT410
SCBO-16_Organoid_P4	IMPACT410	IMPACT410
SCBO-16_Organoid_P7	IMPACT410	IMPACT410
SCBO-16_Parental	IMPACT410	IMPACT410
SCBO-2_Organoid_P1	IMPACT410	IMPACT410
SCBO-2_Organoid_P11	IMPACT410	IMPACT410
SCBO-2_Parental_1	IMPACT410	IMPACT410
SCBO-2_Parental_2	IMPACT410	IMPACT410
SCBO-2_Parental_3	IMPACT410	IMPACT410
SCBO-2_Parental_4	IMPACT410	IMPACT410
SCBO-2_Xenograft	IMPACT410	IMPACT410
SCBO-2_XenoOrganoid_P1	IMPACT410	IMPACT410
SCBO-3_2_Organoid_P1	IMPACT410	IMPACT410
SCBO-3_2_Organoid_P14	IMPACT410	IMPACT410
SCBO-3_2_Organoid_P4	IMPACT410	IMPACT410
SCBO-3_2_Organoid_P8	IMPACT410	IMPACT410
SCBO-3_2_Parental	IMPACT410	IMPACT410
SCBO-3_2_Xenograft	IMPACT410	IMPACT410
SCBO-3_Organoid_P1	IMPACT410	IMPACT410
SCBO-3_Organoid_P14	IMPACT410	IMPACT410
SCBO-3_Organoid_P4	IMPACT410	IMPACT410
SCBO-3_Organoid_P8	IMPACT410	IMPACT410
SCBO-3_Parental	IMPACT410	IMPACT410
SCBO-3_Xenograft	IMPACT410	IMPACT410
SCBO-3_XenoOrganoid_P0	IMPACT410	IMPACT410
SCBO-3_XenoOrganoid_P2	IMPACT410	IMPACT410
SCBO-4_Organoid_P1	IMPACT410	IMPACT410
SCBO-4_Organoid_P10	IMPACT410	IMPACT410
SCBO-4_Organoid_P13	IMPACT410	IMPACT410
SCBO-4_Parental	IMPACT410	IMPACT410
SCBO-5_Organoid_P1	IMPACT410	IMPACT410
SCBO-5_Organoid_P10	IMPACT410	IMPACT410
SCBO-5_Organoid_P15	IMPACT410	IMPACT410
SCBO-5_Organoid_P6	IMPACT410	IMPACT410
SCBO-5_Parental	IMPACT410	IMPACT410
SCBO-5_Xenograft	IMPACT410	IMPACT410
SCBO-5_XenoOrganoid_P2	IMPACT410	IMPACT410
SCBO-6_Organoid_P1	IMPACT410	IMPACT410
SCBO-6_Organoid_P15	IMPACT410	IMPACT410
SCBO-6_Organoid_P9	IMPACT410	IMPACT410
SCBO-6_Parental	IMPACT410	IMPACT410
SCBO-6_Xenograft	IMPACT410	IMPACT410
SCBO-7_2_Organoid_P1	IMPACT410	IMPACT410
SCBO-7_2_Organoid_P9	IMPACT410	IMPACT410
SCBO-7_2_Parental	IMPACT410	IMPACT410
SCBO-7_2_Xenograft	IMPACT410	IMPACT410
SCBO-7_2_XenoOrganoid_P1	IMPACT410	IMPACT410
SCBO-7_Organoid_P0	IMPACT410	IMPACT410
SCBO-7_Organoid_P11	IMPACT410	IMPACT410
SCBO-7_Organoid_P20	IMPACT410	IMPACT410
SCBO-7_Organoid_P7	IMPACT410	IMPACT410
SCBO-7_Parental	IMPACT410	IMPACT410
SCBO-7_Xenograft	IMPACT410	IMPACT410
SCBO-7_XenoOrganoid_P3	IMPACT410	IMPACT410
SCBO-8_Organoid_P11	IMPACT410	IMPACT410
SCBO-8_Organoid_P15	IMPACT410	IMPACT410
SCBO-8_Organoid_P19	IMPACT410	IMPACT410
SCBO-8_Organoid_P3	IMPACT410	IMPACT410
SCBO-8_Organoid_P7	IMPACT410	IMPACT410
SCBO-8_Parental	IMPACT410	IMPACT410
SCBO-8_Xenograft	IMPACT410	IMPACT410
SCBO-9_Organoid_P0	IMPACT410	IMPACT410
SCBO-9_Organoid_P13	IMPACT410	IMPACT410
SCBO-9_Organoid_P17	IMPACT410	IMPACT410
SCBO-9_Organoid_P5	IMPACT410	IMPACT410
SCBO-9_Organoid_P9	IMPACT410	IMPACT410
SCBO-9_Parental	IMPACT410	IMPACT410
SCBO-9_Xenograft	IMPACT410	IMPACT410
SMBO-1_Organoid_P0	IMPACT410	IMPACT410
SMBO-1_Organoid_P4	IMPACT410	IMPACT410
SMBO-1_Organoid_P8	IMPACT410	IMPACT410
SMBO-1_XenoOrganoid_P0	IMPACT410	IMPACT410
SMBO-1_Xenograft_1	IMPACT410	IMPACT410
SMBO-1_Xenograft_2	IMPACT410	IMPACT410
SMBO-2_Organoid_P10	IMPACT410	IMPACT410
SMBO-2_Organoid_P2	IMPACT410	IMPACT410
SMBO-2_Organoid_P6	IMPACT410	IMPACT410
SMBO-2_Xenograft	IMPACT410	IMPACT410
SMBO-3_Organoid_P4	IMPACT410	IMPACT410
SMBO-3_Organoid_P6	IMPACT410	IMPACT410
SMBO-3_Parental	IMPACT410	IMPACT410
SMBO-3_Xenograft	IMPACT410	IMPACT410
