SAMPLE_ID	mutations	cna	structural_variants
2	IMPACT410	IMPACT410	IMPACT410
5	IMPACT341	IMPACT341	IMPACT341
6	IMPACT410	IMPACT410	IMPACT410
7	IMPACT410	IMPACT410	IMPACT410
8	IMPACT410	IMPACT410	IMPACT410
22	IMPACT410	IMPACT410	IMPACT410
11	IMPACT410	IMPACT410	IMPACT410
45	IMPACT410	IMPACT410	IMPACT410
14	IMPACT410	IMPACT410	IMPACT410
17	IMPACT410	IMPACT410	IMPACT410
18	IMPACT410	IMPACT410	IMPACT410
19	IMPACT410	IMPACT410	IMPACT410
21	IMPACT341	IMPACT341	IMPACT341
29	IMPACT410	IMPACT410	IMPACT410
23	IMPACT410	IMPACT410	IMPACT410
24	IMPACT410	IMPACT410	IMPACT410
36	IMPACT410	IMPACT410	IMPACT410
26	IMPACT410	IMPACT410	IMPACT410
27	IMPACT410	IMPACT410	IMPACT410
39	IMPACT410	IMPACT410	IMPACT410
55	IMPACT410	IMPACT410	IMPACT410
65	IMPACT410	IMPACT410	IMPACT410
34	IMPACT341	IMPACT341	IMPACT341
35	IMPACT410	IMPACT410	IMPACT410
32	IMPACT410	IMPACT410	IMPACT410
37	IMPACT410	IMPACT410	IMPACT410
38	IMPACT410	IMPACT410	IMPACT410
69	IMPACT410	IMPACT410	IMPACT410
40	IMPACT410	IMPACT410	IMPACT410
42	IMPACT410	IMPACT410	IMPACT410
63	IMPACT410	IMPACT410	IMPACT410
44	IMPACT410	IMPACT410	IMPACT410
64	IMPACT410	IMPACT410	IMPACT410
46	IMPACT410	IMPACT410	IMPACT410
47	IMPACT410	IMPACT410	IMPACT410
48	IMPACT410	IMPACT410	IMPACT410
51	IMPACT341	IMPACT341	IMPACT341
50	IMPACT341	IMPACT341	IMPACT341
53	IMPACT410	IMPACT410	IMPACT410
76	IMPACT410	IMPACT410	IMPACT410
56	IMPACT410	IMPACT410	IMPACT410
57	IMPACT410	IMPACT410	IMPACT410
58	IMPACT410	IMPACT410	IMPACT410
59	IMPACT410	IMPACT410	IMPACT410
60	IMPACT410	IMPACT410	IMPACT410
61	IMPACT410	IMPACT410	IMPACT410
25	IMPACT410	IMPACT410	IMPACT410
66	IMPACT410	IMPACT410	IMPACT410
52	IMPACT410	IMPACT410	IMPACT410
71	IMPACT410	IMPACT410	IMPACT410
72	IMPACT410	IMPACT410	IMPACT410
73	IMPACT410	IMPACT410	IMPACT410
112	IMPACT410	IMPACT410	IMPACT410
75	IMPACT341	IMPACT341	IMPACT341
10	IMPACT410	IMPACT410	IMPACT410
77	IMPACT410	IMPACT410	IMPACT410
79	IMPACT410	IMPACT410	IMPACT410
92	IMPACT410	IMPACT410	IMPACT410
81	IMPACT410	IMPACT410	IMPACT410
82	IMPACT410	IMPACT410	IMPACT410
83	IMPACT410	IMPACT410	IMPACT410
84	IMPACT410	IMPACT410	IMPACT410
85	IMPACT410	IMPACT410	IMPACT410
87	IMPACT341	IMPACT341	IMPACT341
90	IMPACT410	IMPACT410	IMPACT410
104	IMPACT410	IMPACT410	IMPACT410
94	IMPACT410	IMPACT410	IMPACT410
31	IMPACT341	IMPACT341	IMPACT341
98	IMPACT410	IMPACT410	IMPACT410
99	IMPACT410	IMPACT410	IMPACT410
101	IMPACT410	IMPACT410	IMPACT410
102	IMPACT410	IMPACT410	IMPACT410
62	IMPACT410	IMPACT410	IMPACT410
121	IMPACT410	IMPACT410	IMPACT410
74	IMPACT410	IMPACT410	IMPACT410
96	IMPACT410	IMPACT410	IMPACT410
108	IMPACT410	IMPACT410	IMPACT410
109	IMPACT410	IMPACT410	IMPACT410
91	IMPACT410	IMPACT410	IMPACT410
107	IMPACT341	IMPACT341	IMPACT341
113	IMPACT410	IMPACT410	IMPACT410
114	IMPACT410	IMPACT410	IMPACT410
115	IMPACT410	IMPACT410	IMPACT410
116	IMPACT410	IMPACT410	IMPACT410
117	IMPACT341	IMPACT341	IMPACT341
119	IMPACT410	IMPACT410	IMPACT410
120	IMPACT410	IMPACT410	IMPACT410
111	IMPACT341	IMPACT341	IMPACT341
122	IMPACT410	IMPACT410	IMPACT410
124	IMPACT410	IMPACT410	IMPACT410
125	IMPACT410	IMPACT410	IMPACT410
126	IMPACT341	IMPACT341	IMPACT341
127	IMPACT341	IMPACT341	IMPACT341
128	IMPACT341	IMPACT341	IMPACT341
129	IMPACT341	IMPACT341	IMPACT341
130	IMPACT341	IMPACT341	IMPACT341
131	IMPACT410	IMPACT410	IMPACT410
132	IMPACT410	IMPACT410	IMPACT410
133	IMPACT341	IMPACT341	IMPACT341
134	IMPACT410	IMPACT410	IMPACT410
135	IMPACT410	IMPACT410	IMPACT410
136	IMPACT410	IMPACT410	IMPACT410
138	IMPACT410	IMPACT410	IMPACT410
139	IMPACT410	IMPACT410	IMPACT410
140	IMPACT410	IMPACT410	IMPACT410
141	IMPACT341	IMPACT341	IMPACT341
